date,open,high,low,close,volume,barCount,wap
20260203  09:00:00,142.15,142.15,141.59,141.59,0,0,141.59
20260203  09:05:00,141.6,142.07,141.6,142.07,0,0,142.07
20260203  09:10:00,141.96,141.97,140.8,140.82,0,0,140.82
20260203  09:15:00,140.73,141.32,140.61,141.19,0,0,141.19
20260203  09:20:00,141.2,141.2,140.72,140.72,0,0,140.72
20260203  09:25:00,140.72,140.74,140.47,140.5,0,0,140.5
20260203  09:30:00,140.53,140.75,140.51,140.75,0,0,140.75
20260203  09:35:00,141.17,141.18,140.94,141.0,0,0,141.0
20260203  09:40:00,141.0,141.24,141.0,141.05,0,0,141.05
20260203  09:50:00,141.03,141.37,141.03,141.37,0,0,141.37
20260203  09:55:00,141.37,141.37,141.19,141.19,0,0,141.19
20260203  10:00:00,141.3,141.52,141.3,141.51,0,0,141.51
20260203  10:05:00,141.46,141.75,141.45,141.62,0,0,141.62
20260203  10:10:00,141.61,141.85,141.49,141.64,0,0,141.64
20260203  10:15:00,141.66,141.88,141.66,141.68,0,0,141.68
20260203  10:20:00,141.51,141.65,141.51,141.59,0,0,141.59
20260203  10:25:00,141.66,141.97,141.66,141.92,0,0,141.92
20260203  10:30:00,141.7,141.95,141.54,141.54,0,0,141.54
20260203  10:35:00,141.58,141.58,141.22,141.33,0,0,141.33
20260203  10:40:00,141.33,141.42,141.3,141.42,0,0,141.42
20260203  10:45:00,141.36,141.61,141.36,141.59,0,0,141.59
20260203  10:50:00,141.6,141.6,141.21,141.31,0,0,141.31
20260203  10:55:00,141.15,141.15,140.93,141.09,0,0,141.09
20260203  11:00:00,141.09,141.1,141.02,141.02,0,0,141.02
20260203  11:05:00,141.23,141.34,141.1,141.26,0,0,141.26
20260203  11:10:00,141.26,141.34,141.2,141.21,0,0,141.21
20260203  11:15:00,141.24,141.36,141.24,141.29,0,0,141.29
20260203  11:20:00,141.01,141.04,140.95,141.03,0,0,141.03
20260203  11:25:00,141.16,141.16,140.56,140.72,0,0,140.72
20260203  11:30:00,140.8,140.96,140.41,140.81,0,0,140.81
20260203  11:35:00,141.0,141.03,140.8,140.8,0,0,140.8
20260203  11:40:00,140.97,140.98,140.92,140.95,0,0,140.95
20260203  11:45:00,141.1,141.1,141.07,141.09,0,0,141.09
20260203  11:50:00,141.09,141.09,140.85,140.85,0,0,140.85
20260203  11:55:00,140.94,141.0,140.63,140.63,0,0,140.63
20260203  12:00:00,140.62,140.73,140.27,140.55,0,0,140.55
20260203  12:05:00,140.42,140.87,140.42,140.75,0,0,140.75
20260203  12:10:00,140.61,141.0,140.511,140.78,0,0,140.78
20260203  12:15:00,140.77,140.94,140.7,140.94,0,0,140.94
