date,open,high,low,close,volume,barCount,wap
20260126  09:00:00,446.43,446.43,445.31,445.93,0,0,445.93
20260126  09:05:00,445.83,446.0,445.52,445.52,0,0,445.52
20260126  09:10:00,445.51,445.51,444.68,444.7,0,0,444.7
20260126  09:15:00,444.63,444.86,444.58,444.69,0,0,444.69
20260126  09:20:00,444.75,444.79,444.1,444.26,0,0,444.26
20260126  09:25:00,444.39,444.45,444.14,444.4,0,0,444.4
20260126  09:30:00,444.35,444.35,443.9,444.2,0,0,444.2
20260126  09:35:00,444.12,444.16,443.7,443.7,0,0,443.7
20260126  09:40:00,443.71,444.3,443.7,444.0,0,0,444.0
20260126  09:45:00,443.95,444.1,443.61,443.61,0,0,443.61
20260126  09:50:00,443.6,443.61,443.0,443.28,0,0,443.28
20260126  09:55:00,443.72,444.02,443.47,444.0,0,0,444.0
20260126  10:00:00,444.0,444.0,443.62,443.72,0,0,443.72
20260126  10:05:00,443.73,443.87,443.47,443.47,0,0,443.47
20260126  10:10:00,443.57,444.0,443.52,444.0,0,0,444.0
20260126  10:15:00,444.0,444.2,443.77,443.95,0,0,443.95
20260126  10:20:00,443.86,444.2,443.68,444.15,0,0,444.15
20260126  10:25:00,444.15,444.4,444.03,444.4,0,0,444.4
20260126  10:30:00,444.48,444.7,444.16,444.6,0,0,444.6
20260126  10:35:00,444.61,445.02,444.6,444.69,0,0,444.69
20260126  10:40:00,444.74,445.3,444.72,444.91,0,0,444.91
20260126  10:45:00,444.78,444.97,444.75,444.8,0,0,444.8
20260126  10:50:00,444.82,444.99,444.69,444.76,0,0,444.76
20260126  10:55:00,444.82,445.0,444.75,444.8,0,0,444.8
20260126  11:00:00,444.78,444.84,444.75,444.76,0,0,444.76
20260126  11:05:00,444.84,444.9,444.63,444.64,0,0,444.64
20260126  11:10:00,444.64,444.64,444.44,444.53,0,0,444.53
20260126  11:15:00,444.61,444.86,444.61,444.86,0,0,444.86
20260126  11:20:00,444.85,444.88,444.73,444.73,0,0,444.73
20260126  11:25:00,444.71,444.71,444.53,444.58,0,0,444.58
20260126  11:30:00,444.63,444.88,444.59,444.64,0,0,444.64
20260126  11:35:00,444.59,444.8,444.45,444.7,0,0,444.7
20260126  11:40:00,444.79,445.4,444.79,445.0,0,0,445.0
20260126  11:45:00,445.05,445.21,444.93,445.19,0,0,445.19
20260126  11:50:00,445.2,445.44,445.12,445.23,0,0,445.23
20260126  11:55:00,445.21,445.41,445.12,445.19,0,0,445.19
20260126  12:00:00,445.19,445.91,445.01,445.74,0,0,445.74
20260126  12:05:00,445.68,446.2,445.54,445.96,0,0,445.96
20260126  12:10:00,445.97,446.34,445.85,446.34,0,0,446.34
20260126  12:15:00,446.38,446.38,445.85,445.9,0,0,445.9
20260126  12:20:00,445.9,446.01,445.88,445.97,0,0,445.97
20260126  12:25:00,446.0,446.13,445.9,445.97,0,0,445.97
20260126  12:30:00,445.97,446.17,445.9,446.11,0,0,446.11
20260126  12:35:00,446.01,446.01,445.75,445.89,0,0,445.89
20260126  12:40:00,445.89,445.89,445.5,445.54,0,0,445.54
20260126  12:45:00,445.6,445.79,445.5,445.5,0,0,445.5
20260126  12:50:00,445.48,445.5,445.3,445.4,0,0,445.4
20260126  12:55:00,445.4,445.61,445.33,445.61,0,0,445.61
20260126  13:00:00,445.8,446.4,442.2,445.475,0,0,445.475
20260126  13:05:00,445.41,449.06,445.2,445.4,0,0,445.4
20260126  13:10:00,445.49,445.7767,445.39,445.715,0,0,445.715
20260126  13:15:00,445.71,445.78,445.3,445.53,0,0,445.53
20260126  13:20:00,445.555,445.65,445.0,445.12,0,0,445.12
20260126  13:25:00,445.07,445.24,444.91,445.15,0,0,445.15
20260126  13:30:00,445.15,445.1923,444.65,444.676,0,0,444.676
20260126  13:35:00,444.75,444.75,444.33,444.47,0,0,444.47
20260126  13:40:00,444.44,444.455,443.9,444.35,0,0,444.35
20260126  13:45:00,444.33,444.75,444.25,444.72,0,0,444.72
20260126  13:50:00,444.79,451.2,435.605,444.86,0,0,444.86
20260126  13:55:00,444.86,445.13,444.7375,445.03,0,0,445.03
20260126  14:00:00,445.0,445.33,444.9,445.11,0,0,445.11
20260126  14:05:00,445.1,445.39,445.08,445.09,0,0,445.09
20260126  14:10:00,445.1,445.58,445.06,445.4001,0,0,445.4001
20260126  14:15:00,445.43,445.75,445.3,445.6,0,0,445.6
20260126  14:20:00,445.6,445.61,445.2,445.3,0,0,445.3
20260126  14:25:00,445.32,445.5,445.0,445.02,0,0,445.02
20260126  14:30:00,445.0299987792969,445.0299987792969,439.6000061035156,439.6499938964844,2285660,0,439.6499938964844
20260126  14:35:00,439.6600036621094,441.4866943359375,439.3900146484375,440.1600036621094,935083,0,440.1600036621094
